,진입 탈출로 개수,30m 이내 진입 탈출로 개수,최소 도로폭,교차로 개수,침엽수림 비율,산림기준 이격 거리,창문,산불 진화용수 거리,소방서와의 거리,주건물 지붕특성,불난 후 상태
0,사계 2리동 회관,,,,,,,,,,
1,1,3.0,1.8,3.0,9.62,46.65,234.43,23.8,6.4,1.0,0.0
2,3,5.0,1.7,5.0,13.47,21.65,63.39,23.8,6.4,1.0,0.0
3,3,4.0,1.7,5.0,12.73,29.17,40.32,23.9,6.4,1.0,0.0
4,3,5.0,1.7,5.0,11.62,41.16,31.81,23.9,6.4,1.0,0.0
5,1,1.0,3.0,5.0,13.26,34.21,92.15,23.9,6.4,1.0,0.0
6,2,2.0,3.0,6.0,10.25,31.5,144.06,23.9,6.4,1.0,0.0
7,3,5.0,2.3,5.0,0.15,43.67,59.9,23.9,6.3,1.0,0.0
8,2,3.0,0.7,4.0,65.49,37.74,51.67,23.9,6.2,1.0,0.0
9,3,5.0,2.3,6.0,0.09,33.77,38.94,23.9,6.3,1.0,0.0
10,1,3.0,0.7,4.0,42.39,36.19,31.8,24.0,6.3,1.0,0.0
11,2,3.0,0.7,4.0,36.24,40.89,126.27,24.0,6.3,1.0,0.0
12,3,3.0,2.8,6.0,27.96,39.46,78.72,24.0,6.3,1.0,0.0
13,1,1.0,5.1,10.0,19.89,21.4,33.84,24.0,6.3,1.0,0.0
14,0,0.0,0.0,9.0,27.25,18.33,19.48,24.0,6.3,1.0,0.0
15,0,0.0,0.0,9.0,27.14,15.55,13.91,24.0,6.3,1.0,0.0
16,4,4.0,3.0,6.0,7.69,62.08,115.2,24.0,6.4,0.0,0.0
17,3,3.0,3.2,6.0,7.74,52.87,33.84,24.0,6.4,1.0,0.0
18,1,1.0,3.0,5.0,0.0,108.39,13.36,24.0,6.4,1.0,0.0
19,2,3.0,3.2,7.0,20.51,30.01,51.9,24.0,6.4,1.0,0.0
20,1,1.0,3.0,7.0,0.0,97.49,23.33,24.0,6.4,1.0,0.0
21,4,4.0,3.0,8.0,24.39,36.35,35.19,24.0,6.4,1.0,0.0
22,1,1.0,3.0,8.0,0.0,95.2,58.97,24.0,6.4,1.0,0.0
23,1,1.0,3.0,8.0,0.61,86.49,56.25,24.0,6.4,1.0,0.0
24,2,2.0,3.0,8.0,2.23,81.73,67.54,24.0,6.4,1.0,0.0
25,5,6.0,3.0,10.0,18.07,31.1,29.15,24.0,6.4,1.0,0.0
26,4,4.0,3.0,8.0,0.0,79.91,30.33,24.0,6.4,1.0,0.0
27,2,2.0,4.5,8.0,0.0,75.95,58.03,24.0,6.4,1.0,0.0
28,3,3.0,3.0,8.0,0.02,66.72,51.61,24.0,6.4,1.0,0.0
29,0,0.0,0.0,0.0,3.02,24.0,92.1,24.2,6.4,1.0,0.0
30,0,0.0,0.0,0.0,4.87,19.06,82.8,24.2,6.4,1.0,0.0
31,0,0.0,0.0,0.0,6.42,12.12,29.1,24.2,6.4,1.0,0.0
32,0,0.0,0.0,1.0,5.99,20.59,33.87,24.2,6.4,1.0,0.0
33,0,0.0,0.0,0.0,12.22,0.09,34.06,24.2,6.4,1.0,2.0
34,0,0.0,0.0,0.0,11.8,0.0,35.77,24.2,6.4,1.0,0.0
35,0,0.0,0.0,0.0,0.79,0.09,354.72,24.3,6.3,1.0,0.0
36,0,0.0,0.0,4.0,0.99,36.08,90.72,24.4,6.3,0.0,0.0
37,0,0.0,0.0,3.0,1.05,15.32,321.55,24.4,6.3,1.0,0.0
38,0,0.0,0.0,3.0,0.98,18.52,160.88,24.4,6.3,1.0,0.0
39,0,0.0,0.0,3.0,0.91,17.0,158.7,24.4,6.3,1.0,0.0
40,0,0.0,0.0,6.0,1.04,47.29,194.8,24.4,6.3,1.0,0.0
41,0,0.0,0.0,1.0,15.3,0.69,48.43,24.3,6.3,1.0,0.0
42,0,0.0,0.0,2.0,18.66,7.58,27.75,24.3,6.3,1.0,0.0
43,0,0.0,0.0,1.0,12.7,0.09,18.53,24.4,6.3,1.0,0.0
44,0,0.0,0.0,2.0,12.25,0.06,30.1,24.4,6.3,1.0,0.0
45,0,0.0,0.0,2.0,14.99,2.17,15.87,24.4,6.3,1.0,0.0
46,0,0.0,0.0,4.0,20.65,14.49,21.54,24.4,6.3,1.0,0.0
47,0,0.0,0.0,2.0,8.92,0.06,14.6,24.4,6.3,1.0,2.0
48,0,0.0,0.0,2.0,8.11,0.09,28.73,24.4,6.3,1.0,2.0
49,0,0.0,0.0,2.0,14.11,0.09,50.1,24.4,6.3,1.0,0.0
50,0,0.0,0.0,2.0,9.13,0.0,103.91,24.4,6.3,1.0,1.0
