,진입 탈출로 개수,30m 이내 진입 탈출로 개수,최소 도로폭,교차로 개수,침엽수림 비율,산림기준 이격 거리,창문,산불 진화용수 거리,소방서와의 거리,담 유무,산림방향 담 유무,최대 경사도,최소 경사도,주건물 지붕특성,비산거리,불난 후 상태
0,"강원도 고성군 / 속초시, 옥계산불 ver1_1",,,,,,,,,,,,,,,
1,0,0.0,0.0,2.0,0.0,0.06,25.57,42.68,1.85,0.0,,,,1.0,1.0,2.0
2,0,0.0,0.0,1.0,0.0,0.06,40.61,42.69,1.85,0.0,,,,1.0,0.0,0.0
3,0,0.0,0.0,3.0,0.0,0.06,12.96,42.65,1.82,0.0,,,,1.0,0.0,2.0
4,0,0.0,0.0,3.0,0.0,0.06,52.7,42.66,1.83,0.0,,,,1.0,1.0,2.0
5,0,0.0,0.0,4.0,0.0,10.97,41.96,42.64,1.81,0.0,,,,1.0,0.0,2.0
6,0,0.0,0.0,4.0,0.0,15.57,8.94,42.64,1.8,0.0,,,,1.0,0.0,2.0
7,2,2.0,1.6,0.0,18.65,171.42,37.45,42.72,1.9,0.0,,,,1.0,0.0,2.0
8,2,2.0,1.6,0.0,17.8,168.64,48.08,42.71,1.89,0.0,,,,1.0,0.0,2.0
9,2,2.0,1.6,0.0,15.85,166.47,38.19,42.72,1.89,0.0,,,,1.0,0.0,2.0
10,2,2.0,1.6,1.0,2.94,103.59,48.05,42.71,1.87,0.0,,,,0.0,0.0,0.0
11,0,0.0,0.0,1.0,0.0,15.85,87.55,42.19,1.39,0.0,,,,0.0,1.0,2.0
12,0,0.0,0.0,1.0,0.0,6.38,4.92,42.19,1.4,0.0,,,,1.0,0.0,2.0
13,1,1.0,1.1,1.0,0.82,0.0,9.68,42.21,1.43,0.0,,,,1.0,1.0,2.0
14,1,1.0,7.7,7.0,1.3,1.94,388.8,41.89,1.06,0.0,,,,1.0,1.0,0.0
15,2,2.0,1.6,7.0,0.88,22.3,15.72,41.91,1.08,0.0,,,,1.0,0.0,0.0
16,2,2.0,1.6,7.0,0.9,18.95,19.87,41.91,1.08,0.0,,,,1.0,1.0,0.0
17,2,3.0,1.6,6.0,0.8,26.35,24.19,41.91,1.09,0.0,,,,1.0,0.0,0.0
18,2,2.0,1.6,7.0,0.9,9.59,32.46,41.9,1.07,0.0,,,,1.0,0.0,0.0
19,2,3.0,1.6,6.0,0.0,21.27,70.33,41.91,1.09,0.0,,,,0.0,1.0,0.0
20,2,3.0,1.6,8.0,0.24,15.13,29.55,41.9,1.08,0.0,,,,1.0,1.0,0.0
21,1,1.0,1.6,8.0,0.64,15.93,29.95,41.9,1.08,0.0,,,,1.0,0.0,0.0
22,1,1.0,1.6,8.0,0.68,5.39,17.41,41.89,1.07,0.0,,,,1.0,0.0,0.0
23,3,3.0,1.6,8.0,0.74,1.4,157.25,41.89,1.06,0.0,,,,1.0,0.0,0.0
24,3,3.0,1.6,8.0,0.77,0.06,167.04,41.88,1.06,0.0,,,,1.0,0.0,0.0
25,3,3.0,1.6,9.0,0.79,0.09,194.82,41.88,1.05,0.0,,,,1.0,1.0,0.0
