,진입 탈출로 개수,30m 이내 진입 탈출로 개수,최소 도로폭,교차로 개수,침엽수림 비율,산림기준 이격 거리,창문,산불 진화용수 거리,소방서와의 거리,담 유무,산림방향 담 유무,최대 경사도,최소 경사도,주건물 지붕특성,비산거리,불난 후 상태
0,"강릉시 안현동",,,,,,,,,,,,,,,
1,1,1.0,2.5,1.0,0.0,0.06,31.68,0.53,3.05,0.0,0.0,18.0,13.0,1.0,0.0,0.0
2,0,0.0,0.0,2.0,0.0,0.0,29.03,0.52,3.05,0.0,0.0,22.0,17.0,1.0,1.0,0.0
3,0,0.0,0.0,2.0,0.0,0.06,36.69,0.52,3.05,0.0,0.0,23.0,15.0,1.0,1.0,0.0
4,0,0.0,0.0,5.0,0.0,0.09,46.56,0.54,3.04,0.0,0.0,22.0,4.0,1.0,1.0,0.0
5,0,0.0,0.0,4.0,0.0,0.09,60.78,0.53,3.05,0.0,0.0,22.0,14.0,1.0,0.0,0.0
6,1,1.0,2.5,5.0,0.0,0.71,53.35,0.55,3.03,0.0,0.0,16.0,10.0,1.0,0.0,0.0
7,1,1.0,2.5,5.0,0.0,0.09,62.71,0.54,3.03,0.0,0.0,17.0,7.0,1.0,0.0,0.0
8,1,1.0,2.5,5.0,0.0,8.7,70.43,0.56,3.02,0.0,0.0,18.0,12.0,1.0,0.0,0.0
9,1,1.0,2.5,6.0,0.0,17.77,35.77,0.57,3.01,0.0,0.0,22.0,14.0,1.0,0.0,0.0
10,3,3.0,2.5,2.0,0.0,35.62,125.29,0.58,2.99,0.0,0.0,26.0,4.0,1.0,0.0,0.0
11,1,1.0,2.5,6.0,0.0,27.88,90.99,0.58,3.0,0.0,0.0,23.0,17.0,0.0,0.0,0.0
12,1,1.0,2.5,6.0,0.0,26.08,12.9,0.58,3.0,0.0,0.0,22.0,18.0,1.0,0.0,0.0
13,3,3.0,2.5,6.0,0.0,31.15,123.38,0.6,2.97,0.0,0.0,16.0,7.0,1.0,0.0,0.0
14,0,0.0,0.0,0.0,0.0,0.09,25.39,0.91,2.74,0.0,0.0,13.0,7.0,1.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0,0.06,43.32,0.93,2.71,0.0,0.0,15.0,0.0,1.0,0.0,0.0
16,0,0.0,0.0,0.0,0.88,0.06,25.72,0.94,2.69,0.0,0.0,17.0,11.0,1.0,0.0,0.0
17,0,0.0,0.0,0.0,0.0,0.06,33.87,0.98,2.68,0.0,0.0,24.0,11.0,1.0,0.0,0.0
18,0,0.0,0.0,0.0,1.51,0.06,59.82,0.95,2.68,0.0,0.0,15.0,6.0,1.0,0.0,0.0
19,0,0.0,0.0,0.0,1.62,0.06,42.34,0.93,2.69,0.0,0.0,17.0,0.0,1.0,0.0,0.0
20,0,0.0,0.0,0.0,0.0,0.0,38.3,0.99,2.66,0.0,0.0,25.0,18.0,1.0,0.0,0.0
21,0,0.0,0.0,0.0,22.53,3.44,215.28,0.6,2.98,0.0,0.0,6.0,3.0,1.0,1.0,0.0
22,0,0.0,0.0,0.0,22.69,0.06,88.56,0.62,2.97,0.0,0.0,6.0,4.0,1.0,0.0,0.0
23,0,0.0,0.0,0.0,3.97,0.09,91.8,0.65,2.95,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24,0,0.0,0.0,0.0,0.51,1.35,96.47,0.67,2.93,0.0,0.0,35.0,20.0,0.0,0.0,0.0
25,0,0.0,0.0,0.0,9.86,0.09,121.18,0.66,2.93,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26,0,0.0,0.0,1.0,0.45,6.84,108.04,0.68,2.92,0.0,0.0,0.0,0.0,1.0,1.0,0.0
27,0,0.0,0.0,2.0,13.98,20.62,29.15,0.69,2.89,0.0,0.0,0.0,0.0,1.0,1.0,0.0
28,0,0.0,0.0,4.0,12.72,36.9,58.97,0.71,2.87,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,0,0.0,0.0,2.0,0.0,0.06,27.16,1.19,2.53,0.0,0.0,23.0,10.0,1.0,0.0,0.0
30,0,0.0,0.0,3.0,0.0,0.06,52.42,1.19,2.53,0.0,0.0,23.0,10.0,1.0,0.0,0.0
31,0,0.0,0.0,3.0,0.0,0.0,12.44,1.19,2.53,0.0,0.0,23.0,11.0,1.0,0.0,0.0
32,0,0.0,0.0,0.0,0.94,0.09,61.56,1.27,2.46,0.0,0.0,25.0,13.0,1.0,0.0,0.0
33,0,0.0,0.0,0.0,0.92,0.0,66.87,1.27,2.46,0.0,0.0,23.0,0.0,1.0,0.0,0.0
34,0,0.0,0.0,2.0,0.8,0.06,112.69,1.26,2.45,0.0,0.0,18.0,1.0,1.0,0.0,0.0
35,0,0.0,0.0,3.0,13.11,92.89,57.14,1.01,2.68,0.0,0.0,14.0,0.0,0.0,0.0,0.0
36,1,1.0,2.5,3.0,21.02,75.42,108.69,1.0,2.67,0.0,0.0,18.0,0.0,1.0,0.0,0.0
37,1,1.0,2.5,4.0,16.77,14.69,23.8,0.98,2.67,0.0,0.0,27.0,6.0,1.0,0.0,0.0
38,0,0.0,0.0,3.0,6.51,100.57,45.96,1.03,2.66,0.0,0.0,21.0,3.0,1.0,0.0,0.0
39,1,3.0,2.1,4.0,11.81,76.3,9.72,1.03,2.64,0.0,0.0,22.0,10.0,1.0,0.0,0.0
40,4,5.0,2.1,4.0,12.49,29.75,22.58,1.01,2.64,0.0,0.0,16.0,8.0,1.0,0.0,0.0
41,2,2.0,2.9,4.0,0.0,46.19,12.05,1.82,2.16,0.0,0.0,19.0,8.0,1.0,0.0,0.0
42,2,2.0,2.9,4.0,1.38,37.76,12.1,1.8,2.15,0.0,0.0,14.0,0.0,1.0,0.0,0.0
43,1,1.0,2.9,4.0,4.16,33.12,28.51,1.79,2.14,0.0,0.0,10.0,0.0,1.0,1.0,0.0
44,0,2.0,2.0,3.0,19.59,0.69,56.92,1.8,2.09,0.0,0.0,18.0,11.0,0.0,0.0,0.0
45,1,1.0,2.2,2.0,7.0,0.06,41.47,1.74,2.06,0.0,0.0,27.0,0.0,1.0,1.0,0.0
46,1,1.0,2.2,2.0,7.03,0.06,82.05,1.73,2.05,0.0,0.0,27.0,5.0,1.0,0.0,0.0
47,0,0.0,0.0,0.0,0.0,0.06,50.8,1.85,2.09,0.0,0.0,18.0,8.0,1.0,0.0,0.0
48,1,1.0,2.9,0.0,0.0,0.06,27.71,1.81,2.01,0.0,0.0,3.0,0.0,1.0,0.0,0.0
49,1,1.0,14.0,2.0,0.0,219.42,102.79,1.88,1.98,0.0,0.0,9.0,5.0,1.0,0.0,0.0
50,0,0.0,0.0,2.0,0.0,208.18,34.73,1.87,1.97,0.0,0.0,19.0,6.0,1.0,0.0,0.0
51,1,1.0,14.0,2.0,0.0,212.57,26.01,1.87,1.97,0.0,0.0,15.0,5.0,1.0,0.0,0.0
52,1,1.0,14.0,2.0,0.0,201.94,31.1,1.86,1.96,0.0,0.0,19.0,6.0,0.0,0.0,0.0
53,1,1.0,6.7,7.0,0.0,158.38,44.35,1.81,1.92,0.0,0.0,8.0,5.0,1.0,0.0,0.0
54,4,5.0,3.1,3.0,0.0,186.34,40.78,1.84,1.95,0.0,0.0,15.0,0.0,1.0,0.0,0.0
55,3,5.0,3.1,6.0,0.0,167.85,49.77,1.83,1.93,0.0,0.0,11.0,0.0,1.0,0.0,0.0
56,1,1.0,6.7,10.0,0.0,145.33,147.0,1.8,1.91,0.0,0.0,10.0,5.0,1.0,0.0,0.0
57,4,5.0,3.1,4.0,0.0,178.06,21.31,1.84,1.94,0.0,0.0,11.0,8.0,1.0,0.0,0.0
58,3,4.0,3.1,9.0,0.0,154.01,24.15,1.81,1.91,0.0,0.0,11.0,6.0,1.0,0.0,0.0
59,4,5.0,3.1,8.0,0.0,156.58,58.62,1.81,1.92,0.0,0.0,11.0,0.0,1.0,0.0,0.0
60,1,1.0,9.9,11.0,0.0,129.23,77.11,1.79,1.89,0.0,0.0,8.0,0.0,1.0,0.0,0.0
61,3,5.0,3.1,5.0,0.0,169.05,15.18,1.83,1.93,0.0,0.0,10.0,2.0,1.0,0.0,0.0
62,4,5.0,3.1,8.0,0.0,156.58,58.62,1.81,1.92,0.0,0.0,11.0,0.0,0.0,0.0,0.0
63,4,5.0,3.1,8.0,0.0,148.33,39.51,1.81,1.91,0.0,0.0,9.0,0.0,1.0,0.0,0.0
64,3,3.0,6.7,11.0,0.0,135.25,73.58,1.79,1.89,0.0,0.0,0.0,0.0,1.0,0.0,0.0
65,4,4.0,3.1,8.0,0.0,150.18,50.69,1.81,1.91,0.0,0.0,10.0,0.0,1.0,0.0,0.0
66,3,2.0,3.1,8.0,0.0,151.23,48.44,1.81,1.91,0.0,0.0,10.0,1.0,1.0,0.0,0.0
67,1,1.0,9.9,11.0,0.0,130.57,59.73,1.79,1.89,0.0,0.0,4.0,0.0,1.0,0.0,0.0
68,1,1.0,9.9,10.0,0.0,136.99,22.44,1.79,1.89,0.0,0.0,10.0,0.0,1.0,0.0,0.0
69,0,0.0,0.0,1.0,0.0,115.81,73.58,1.69,1.99,0.0,0.0,23.0,13.0,0.0,0.0,0.0
70,0,0.0,0.0,1.0,0.0,111.73,13.78,1.69,1.99,0.0,0.0,23.0,6.0,1.0,0.0,0.0
71,1,1.0,4.1,2.0,0.1,104.24,12.44,1.67,1.98,0.0,0.0,18.0,13.0,1.0,0.0,0.0
72,1,2.0,1.7,2.0,8.82,67.19,73.44,1.66,1.94,0.0,0.0,17.0,0.0,1.0,0.0,0.0
73,0,0.0,0.0,5.0,4.88,61.66,56.39,1.63,1.93,0.0,0.0,20.0,10.0,0.0,0.0,0.0
74,0,0.0,0.0,4.0,4.67,46.61,95.56,1.63,1.91,0.0,0.0,17.0,0.0,1.0,0.0,0.0
75,2,2.0,1.7,0.0,10.99,28.2,321.75,1.67,1.9,0.0,0.0,2.0,0.0,0.0,0.0,0.0
76,2,2.0,1.7,2.0,6.69,14.29,59.67,1.65,1.89,0.0,0.0,13.0,0.0,0.0,0.0,0.0
77,2,4.0,1.6,4.0,3.36,43.37,51.78,1.59,1.88,0.0,0.0,21.0,13.0,1.0,0.0,0.0
78,0,0.0,0.0,0.0,0.86,0.06,37.38,1.54,2.11,0.0,0.0,27.0,19.0,1.0,0.0,0.0
79,0,0.0,0.0,1.0,2.46,0.0,7.26,1.52,2.08,0.0,0.0,13.0,0.0,1.0,0.0,0.0
80,0,0.0,0.0,0.0,0.66,0.06,57.89,1.47,2.25,0.0,0.0,3.0,0.0,1.0,0.0,0.0
81,0,0.0,0.0,0.0,0.57,0.06,47.17,1.49,2.22,0.0,0.0,24.0,12.0,1.0,0.0,0.0
82,0,0.0,0.0,0.0,0.5,0.09,33.57,1.46,2.2,0.0,0.0,24.0,8.0,1.0,0.0,0.0
83,0,0.0,0.0,0.0,0.53,0.09,43.56,1.45,2.18,0.0,0.0,25.0,0.0,1.0,0.0,0.0
84,0,0.0,0.0,1.0,23.06,0.06,110.07,1.08,2.53,0.0,0.0,8.0,0.0,0.0,1.0,0.0
85,0,0.0,0.0,1.0,10.44,12.14,68.54,1.14,2.48,0.0,0.0,17.0,3.0,0.0,1.0,0.0
86,1,1.0,2.6,2.0,9.61,18.97,31.44,1.15,2.47,0.0,0.0,22.0,0.0,1.0,1.0,0.0
87,0,0.0,0.0,1.0,0.0,0.06,35.68,1.4,2.05,0.0,0.0,22.0,20.0,1.0,0.0,0.0
88,1,1.0,4.1,2.0,0.0,0.0,29.95,1.37,2.02,0.0,0.0,20.0,15.0,1.0,1.0,0.0
89,2,3.0,2.7,5.0,3.86,9.23,47.0,1.32,1.99,0.0,0.0,18.0,4.0,1.0,0.0,0.0
90,2,2.0,2.7,9.0,8.56,13.76,90.84,1.29,1.96,0.0,0.0,15.0,8.0,0.0,1.0,0.0
91,0,0.0,0.0,1.0,5.47,2.03,29.76,1.33,1.65,0.0,0.0,12.0,10.0,1.0,1.0,0.0
